symbol,tradedate,open,high,low,close,vwap,volume,amount,open_interest,factor,adjclose
AD88,2025-06-10,19400.0,19500.0,19070.0,19190.0,19229.96816260971,52297.0,10056696450.0,9723.0,1.0,19190.0
AD88,2025-06-11,19200.0,19525.0,19200.0,19400.0,19356.34498943069,27911.0,5402549450.0,10419.0,1.0,19400.0
AD88,2025-06-12,19435.0,19490.0,19355.0,19460.0,19429.678621880397,12742.0,2475729650.0,10862.0,1.0,19460.0
AD88,2025-06-13,19455.0,19520.0,19330.0,19430.0,19413.931355181576,11290.0,2191832850.0,9162.0,1.0,19430.0
AD88,2025-06-16,19400.0,19480.0,19355.0,19470.0,19420.804379297864,5526.0,1073193650.0,8673.0,1.0,19470.0
AD88,2025-06-17,19500.0,19630.0,19440.0,19565.0,19546.567917489578,9114.0,1781474200.0,8964.0,1.0,19565.0
AD88,2025-06-18,19590.0,19740.0,19580.0,19730.0,19664.30933187594,7319.0,1439230800.0,9124.0,1.0,19730.0
AD88,2025-06-19,19720.0,19840.0,19620.0,19780.0,19746.693730266124,11085.0,2188921000.0,8389.0,1.0,19780.0
AD88,2025-06-20,19715.0,19780.0,19625.0,19640.0,19696.732479544648,5622.0,1107350300.0,8378.0,1.0,19640.0
AD88,2025-06-23,19665.0,19800.0,19640.0,19680.0,19699.597235462345,4196.0,826595100.0,8243.0,1.0,19680.0
AD88,2025-06-24,19700.0,19740.0,19520.0,19625.0,19625.575479566305,4796.0,941242600.0,8063.0,1.0,19625.0
AD88,2025-06-25,19625.0,19700.0,19530.0,19700.0,19602.851922035734,3694.0,724129350.0,7903.0,1.0,19700.0
AD88,2025-06-26,19700.0,19750.0,19640.0,19715.0,19694.49376114082,2805.0,552430550.0,7964.0,1.0,19715.0
AD88,2025-06-27,19705.0,19885.0,19705.0,19790.0,19807.712229025317,6043.0,1196980050.0,8226.0,1.0,19790.0
AD88,2025-06-30,19835.0,19835.0,19715.0,19800.0,19778.443430656935,2740.0,541929350.0,8279.0,1.0,19800.0
AD88,2025-07-01,19785.0,19860.0,19720.0,19825.0,19795.492253066495,3098.0,613264350.0,8539.0,1.0,19825.0
AD88,2025-07-02,19830.0,19945.0,19810.0,19885.0,19901.344015080114,5305.0,1055766300.0,8930.0,1.0,19885.0
AD88,2025-07-03,19880.0,19985.0,19880.0,19965.0,19935.19781420765,4575.0,912035300.0,9367.0,1.0,19965.0
AD88,2025-07-04,19950.0,19965.0,19825.0,19885.0,19908.29419703104,3705.0,737602300.0,9250.0,1.0,19885.0
AD88,2025-07-07,19885.0,19885.0,19685.0,19750.0,19764.45566912289,4207.0,831490650.0,8448.0,1.0,19750.0
AD88,2025-07-08,19755.0,19895.0,19735.0,19850.0,19814.69315245478,3096.0,613462900.0,8685.0,1.0,19850.0
AD88,2025-07-09,19855.0,19885.0,19770.0,19830.0,19835.21787461094,2249.0,446094050.0,8571.0,1.0,19830.0
AD88,2025-07-10,19820.0,20000.0,19780.0,19940.0,19938.49640125956,4446.0,886465550.0,8813.0,1.0,19940.0
AD88,2025-07-11,19945.0,20050.0,19915.0,19930.0,19981.189927583935,3038.0,607028550.0,8851.0,1.0,19930.0
AD88,2025-07-14,19880.0,19950.0,19700.0,19805.0,19794.380942091615,4628.0,916083950.0,8293.0,1.0,19805.0
AD88,2025-07-15,19790.0,19830.0,19720.0,19790.0,19775.715914272685,2193.0,433681450.0,8308.0,1.0,19790.0
AD88,2025-07-16,19785.0,19865.0,19750.0,19820.0,19810.304785894208,1985.0,393234550.0,8393.0,1.0,19820.0
AD88,2025-07-17,19780.0,19875.0,19755.0,19845.0,19835.709589041096,1825.0,362001700.0,8279.0,1.0,19845.0
AD88,2025-07-18,19810.0,19950.0,19810.0,19875.0,19887.353733641263,2598.0,516673450.0,8445.0,1.0,19875.0
AD88,2025-07-21,19885.0,20225.0,19885.0,20165.0,20104.85658970314,6973.0,1401911650.0,10019.0,1.0,20165.0
AD88,2025-07-22,20125.0,20300.0,20125.0,20280.0,20216.809458533244,4377.0,884889750.0,9938.0,1.0,20280.0
AD88,2025-07-23,20300.0,20350.0,20080.0,20155.0,20214.672088142706,3812.0,770583300.0,9445.0,1.0,20155.0
AD88,2025-07-24,20150.0,20210.0,20060.0,20135.0,20130.999633833762,2731.0,549777600.0,9191.0,1.0,20135.0
AD88,2025-07-25,20135.0,20205.0,20090.0,20135.0,20151.01997146933,2103.0,423775950.0,9207.0,1.0,20135.0
AD88,2025-07-28,20110.0,20170.0,19960.0,20025.0,20035.309557774606,3505.0,702237600.0,9085.0,1.0,20025.0
AD88,2025-07-29,20050.0,20090.0,19990.0,20020.0,20042.009747706423,1744.0,349532650.0,8864.0,1.0,20020.0
AD88,2025-07-30,19945.0,20085.0,19945.0,20070.0,20038.898996235883,1594.0,319420050.0,8850.0,1.0,20070.0
